iter	Passed	Remaining
0	114	45690
1	141	28241
2	167	22149
3	235	23322
4	261	20630
5	298	19601
6	341	19190
7	399	19586
8	433	18843
9	473	18453
10	511	18097
11	516	16698
12	557	16588
13	591	16322
14	622	15983
15	652	15668
16	670	15112
17	701	14886
18	706	14168
19	736	13989
20	754	13611
21	773	13282
22	791	12966
23	830	13013
24	864	12972
25	897	12909
26	923	12756
27	955	12696
28	982	12564
29	1000	12337
30	1030	12270
31	1080	12424
32	1083	12055
33	1103	11879
34	1120	11689
35	1152	11648
36	1181	11590
37	1214	11568
38	1231	11401
39	1263	11372
40	1281	11219
41	1312	11189
42	1342	11146
43	1359	10999
44	1388	10955
45	1429	10998
46	1471	11050
47	1511	11086
48	1547	11088
49	1587	11114
50	1618	11077
51	1659	11106
52	1664	10899
53	1703	10914
54	1745	10951
55	1787	10981
56	1828	11000
57	1869	11025
58	1910	11040
59	1950	11054
60	1993	11079
61	2025	11040
62	2047	10951
63	2052	10775
64	2091	10777
65	2114	10700
66	2156	10718
67	2196	10722
68	2235	10723
69	2274	10721
70	2315	10728
71	2337	10649
72	2355	10551
73	2386	10512
74	2417	10475
75	2447	10433
76	2479	10400
77	2496	10304
78	2526	10266
79	2546	10186
80	2579	10158
81	2611	10127
82	2628	10039
83	2645	9953
84	2662	9868
85	2692	9830
86	2722	9796
87	2756	9774
88	2787	9740
89	2807	9670
90	2811	9546
91	2830	9475
92	2834	9357
93	2866	9330
94	2897	9301
95	2927	9271
96	2954	9229
97	2981	9188
98	3014	9166
99	3049	9149
100	3067	9079
101	3097	9049
102	3114	8979
103	3143	8945
104	3183	8944
105	3225	8945
106	3249	8899
107	3255	8802
108	3299	8808
109	3341	8808
110	3382	8806
111	3424	8805
112	3449	8760
113	3455	8670
114	3462	8582
115	3501	8572
116	3539	8560
117	3577	8550
118	3598	8497
119	3639	8491
120	3673	8471
121	3708	8450
122	3749	8444
123	3767	8385
124	3800	8361
125	3840	8351
126	3873	8327
127	3893	8273
128	3926	8249
129	3962	8229
130	3998	8210
131	4040	8202
132	4080	8191
133	4112	8163
134	4142	8131
135	4173	8101
136	4202	8068
137	4219	8010
138	4236	7954
139	4253	7900
140	4285	7871
141	4304	7820
142	4308	7743
143	4339	7714
144	4369	7684
145	4399	7653
146	4403	7578
147	4434	7549
148	4466	7523
149	4498	7497
150	4516	7446
151	4535	7400
152	4567	7372
153	4584	7322
154	4612	7291
155	4642	7261
156	4674	7235
157	4708	7211
158	4741	7186
159	4774	7162
160	4804	7131
161	4834	7102
162	4865	7075
163	4905	7059
164	4940	7036
165	4971	7008
166	5013	6995
167	5051	6976
168	5083	6948
169	5125	6934
170	5166	6919
171	5206	6901
172	5247	6884
173	5288	6868
174	5333	6856
175	5355	6816
176	5390	6791
177	5412	6750
178	5453	6733
179	5494	6715
180	5528	6688
181	5560	6660
182	5601	6642
183	5636	6617
184	5668	6587
185	5712	6572
